link,title,site_name,pagenum
http://wellan.zuel.edu.cn/2022/1003/c1668a307752/page.htm,我校“读懂中国”系列社会实践项目获第六届全国高校“礼敬中华优秀传统文化”系列活动示范项目,文澜要闻,1
http://wellan.zuel.edu.cn/2022/1001/c1668a307660/page.htm,千余名师生国旗下聆听青春故事告白伟大祖国,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0929/c1668a307486/page.htm,学校深化校企合作开启“访企拓岗促就业”第十一站,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0926/c1668a307184/page.htm,风雨无阻！2022级学生军训总结表彰大会顺利举行,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0924/c1668a306984/page.htm,财政税务学院举办2022年光荣从教满30周年教师庆典,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0923/c1668a306949/page.htm,我校举行教育部直属高校党建工作联络员聘任仪式,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0926/c1668a307070/page.htm,杨灿明校长看望慰问军训教官与军训助理,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0921/c1668a306614/page.htm,学校与武汉海事法院举行战略合作协议签署暨揭牌仪式,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0920/c1668a306508/page.htm,武昌区人大常委会主任胡太荣一行来校走访,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0919/c1668a306387/page.htm,学校举办2023年云南省定向选调生宣讲会,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0916/c1668a306039/page.htm,传承红色基因 激扬青春力量：杨灿明校长为2022级本科新生讲授“开学第一课”,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0914/c1668a305825/page.htm,杨灿明在2022年新生开学典礼上的讲话：在青春的赛道上尽情奔跑,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0914/c1668a305824/page.htm,学校隆重举行2022级新生开学典礼,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0909/c1668a305555/page.htm,喜迎党的二十大 学校举办教师节系列活动,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0909/c1668a305514/page.htm,财政部向中南财经政法大学发来教师节贺信,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0908/c1668a305402/page.htm,致全校教职员工的慰问信,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0907/c1668a305309/page.htm,法律硕士专业学位（涉外律师）研究生培养项目第二指导教师聘任仪式暨师生见面会成功举办,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0904/c1668a305061/page.htm,湖北省第八届高校青年教师教学竞赛获奖教师座谈会在校工会隆重召开,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0902/c1668a304989/page.htm,欢迎！9000余名2022级中南大新生开启筑梦之旅,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0902/c1668a304970/page.htm,学校召开两级党委理论学习中心组专题学习会,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0829/c1668a304550/page.htm,校领导带队检查期初教学情况,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0828/c1668a304380/page.htm,省青教赛我校取得历史最好成绩,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0826/c1668a304337/page.htm,2022年秋季工作会议提出：以干劲拼劲韧劲冲劲闯劲推进重点工作落地生根,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0826/c1668a304336/page.htm,消暑解渴！中层干部培训班为学校高质量内涵式发展赋能,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0829/c1668a304580/page.htm,湖北省第八届高校青年教师教学竞赛启动仪式在我校隆重举行,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0821/c1668a304108/page.htm,湖北省总工会、教科文卫体工会一行慰问我校一线职工并调研省“青教赛”筹备工作,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0801/c1668a303613/page.htm,中南大全国并列第七！2022年度教育部人文社会科学研究一般项目立项名单公示出炉,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0728/c1668a303564/page.htm,《中国教育报》头版采访报道我校驻红石村帮扶工作,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0717/c1668a303348/page.htm,学校深化校企合作开启“访企拓岗促就业”第十站,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0714/c1668a303287/page.htm,栾永玉、杨灿明一行检查指导2022年本科招生录取工作,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0711/c1668a303161/page.htm,校党委书记栾永玉一行赴滇西应用技术大学调研对口支援工作,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0711/c1668a303151/page.htm,齐心协力、多措并举，学校精心精准做好招生宣传工作,文澜要闻,1
http://wellan.zuel.edu.cn/2022/0705/c1668a303027/page.htm,学校举办教职工党支部书记及党务干部专题培训班,文澜要闻,1
