学校多项课题获教育部人文社科项目立项
    新闻网讯（通讯员 赖思源） 近日，教育部发布了《2012年度教育部人文社会科学研究一般项目立项通知》，我校多项申报课题获准立项。2012年我校共申报教育部一般项目198项，共有35项获准立项，立项数继续在全国高校中位居前列，获得立项经费239.8万元，创历史新高。其中包括31项人文社科规划项目（规划基金、青年基金），2项高校思想政治专项项目和2项马克思主义中国化、时代化、大众化专项任务项目。
  2012年度教育部人文社科研究项目立项一览表
序号 负责人 所属学院 基金类别 项目名称 项目编号
1 何萍 马克思主义学院 马克思主义三化专项 我国意识形态安全与马克思主义时代化、大众化 12JD710118
2 熊波 哲学院 青年基金项目 中国城市长期失能老人照料决策与照料模式研究——以个人资本为视角 12YJC840047
3 朱华雄 经济学院 规划基金项目 民国时期（1912-1949）保险思想研究 12YJA790219
4 杨祖义 经济学院 规划基金项目 20世纪中国经济史学发展研究 12YJA790171
5 宋丽智 经济学院 青年基金项目 20世纪30年代中国经济思想的转变与发展研究——基于世界经济大萧条冲击的视角 12YJC790161
6 李小平 经济学院 青年基金项目 外贸发展与碳排放强度下降的互动机理及其政策选择：基于区域和产业的比较研究 12YJC790104
7 张青 财税学院 规划基金项目 农地流转收益分配理论建构与农民土地权利实现机制研究 12YJAZH196
8 毛晖 财税学院 青年基金项目 地方政府环境治理偏好与路径选择——基于省级政府的实证研究 12YJCZH154
9 付海艳 金融学院 青年基金项目 我国慈善组织资金管理与运营模式创新研究 12YJCZH049
10 梅术文 法学院 青年基金项目 著作权保护中的消费者运动与制度创新 12YJC820072
11 江登琴 法学院 青年基金项目 信息时代网络言论自由与色情管制的公法学研究 12YJC820041
12 李培锋 法学院 青年基金项目 英美法系的司法方法研究 12YJC820055
13 资琳 法学院 青年基金项目 我国法理学的司法实践功能研究 12YJC820146
14 齐文远 校团委 思想政治专项 高校大学生诚信教育体系研究 12JDSZ2012
15 付凤 刑事司法学院 青年基金项目 上海合作组织框架下的区域警务合作研究 12YJC820026
16 朱灵慧 外国语学院 青年基金项目 近代汉译作品序跋的翻译学研究 12YJC740156
17 吴瑜 新闻与文化传播学院 青年基金项目 可持续背景下产品服务系统设计方法研究 12YJC760093
18 韦乐 新闻与文化传播学院 青年基金项目 《西厢记》评点史 12YJC751088
19 张新国 工商管理学院 规划基金项目 劳工标准对我国劳动密集型企业竞争力影响的机理与测度研究 12YJA630190
20 邓远建 工商管理学院 青年基金项目 生态资本运营的安全问题研究：基于生态脆弱性的分析 12YJC790029
21 李小玲 工商管理学院 青年基金项目 电子商务平台规范商家自律行为的策略研究：基于制度理论的视角 12YJC630104
22 王新刚 工商管理学院 青年基金项目 基于品牌绩效促升的企业家社会责任行为偏离研究 12YJC630217
23 袁天荣 会计学院 规划基金项目 我国企业海外并购整合风险的生成机理、预警机制与治理策略研究 12YJA630181
24 冉明东 会计学院 青年基金项目 新闻传媒与资本市场：作用机理与效果检验 12YJC630159
25 苏忠林 公共管理学院 规划基金项目 网络公关异化治理研究 12YJA630103
26 缪国书 公共管理学院 青年基金项目 我国公务员廉政保证金制度试行效果跟踪研究 12YJC630141
27 田艳平 公共管理学院 规划基金项目 城市社会空间分异背景下公共交通需求测度及管理对策研究——以武汉市为例 12YJA840024
28 石智雷 公共管理学院 青年基金项目 计划生育政策对家庭发展能力的影响及家庭发展政策的构建 12YJC840032
29 赵慧娟 公共管理学院 青年基金项目 新生代员工“不敬业”的预警及干预机制研究：基于延迟满足的视角 12YJC630310
30 徐映梅 统计与数学学院 规划基金项目 基于经济效应视角的人口政策评估与选择 12YJA910006
31 王艳清 统计与数学学院 青年基金项目 中国海外利益的结构与维护路径——基于结构方程理论的研究 12YJCGJW015
32 金大卫 信息安全工程学院 青年基金项目 人道主义救援供应链决策模型及应用研究 12YJC630078
33 张新香 信息安全工程学院 青年基金项目 面向我国农村地区的商业模式创新方式设计及效率评价 12YJCZH286
34 周勇 信息与安全工程学院 马克思主义三化专项 意志视域中的青年学生马克思主义信仰教育研究 12JD710108
35 刘朝阳 信息与安全工程学院 思想政治专项 大学生网络诉求与现实行为的相关度和差异度研究 12JDSZ3064
