我校25项目获2012年度湖北社科基金立项
    新闻网讯 （通讯员  赖思源）近日，湖北省委社科工作领导小组办公室下达“湖北省2012年度社会科学基金项目立项通知”，全省2012年度共批准300项年度项目，我校共申报83项，获得批准25项，立项数在全省高校中列第三。
  2012年度湖北省社科基金课题立项一览表
  负责人 所在学院 课题名称 成果形式 立项经费（万元）
赵炎才 马克思主义学院 晚清民初道德观念嬗变研究 专著 3
韩美群 马克思主义学院 文化建设的中国话语——中国特色社会主义文化关键词 专著 3
孙群力 财税学院 湖北省居民收入差距及对策研究 研究报告 2
薛钢 财税学院 湖北省增值税扩围改革的经济效应——基于风险防范视角 研究报告 2
胡洪曙 财税学院 中国居民家庭收入分配的代际流动性：1989-2009 论文 1
王宝顺 财税学院 财政支出的空间外溢效应对区域经济增长的影响——以武汉城市圈为例 论文 1
魏福成 财税学院 税收、价格操控与产业升级的障碍：基于新政治经济学视角 论文 1
尤明青 法学院 构建基于统一的湖北省水（环境）功能区划的水资源管理机制研究 研究报告 2
耿卓 法学院 我国地役权现代发展研究 专著 3
陆剑 法学院 我国农地使用权流转法律制度研究 专著 3
冯娅 外语学院 湖北省产业碳排放水平及其影响因素研究 研究报告 2
严立冬 工商管理学院 湖北农产品地理标志产业发展研究 专著 3
张新国 工商管理学院 湖北文化产品品牌培育研究 研究报告 2
石军伟 工商管理学院 我国中部地区工业结构转换能力的实证研究 研究报告 2
杜鹏 工商管理学院 湖北省高科技企业技术创新机制、评价体系与政策研究：基于互补资产的视角 研究报告 2
曹丽莉 工商管理学院 产业集群内制造业与物流业互动发展研究——基于湖北的实证 研究报告 2
田苗 工商管理学院 湖北省绿色农业生态补偿机制创新研究 专著 3
赵丽江 公共管理学院 提升政府对于农村自然灾害防减救助能力的研究——以湖北省为例 研究报告 2
李波 公共管理学院 完善湖北省保障房制度的对策研究 研究报告 2
庞明礼 公共管理学院 省直管县体制改革的实践情况与发展趋势研究 专著 3
周红云 公共管理学院 网络群体性事件的社会风险放大机理及其对策研究——基于湖北省的实证分析 研究报告 2
向华丽 公共管理学院 武汉城市圈人口空间均衡与区域可持续发展 研究报告 2
石智雷 公共管理学院 外力冲击、利益分配与湖北区域可持续发展：基于南水北调工程的分析 研究报告 2
李云新 公共管理学院 中国快速城市化进程中社会冲突频发的政治经济学分析 专著 3
张新香 信息与安全工程学院 技术创新与商业模式创新的交互作用机制研究——以软件产业为例 专著 3
