我校23项目获得2020年度国家社科基金立项
新闻网讯（通讯员 赖思源）全国哲学社会科学工作办官方网站于9月27日公布2020年度国家社科基金项目评审结果。我校23项获准立项，其中重点项目1项，一般项目20项，青年项目2项，总立项经费475万元。
2020年国家社科基金项目申报及立项有以下特点：1.申报数比去年有增长：共申报176项，比去年增长近30%；2.立项率：今年为13%，略低于全国平均立项率；3.排名：全国财经政法类高校排名前列，湖北省第3名，全国第45名；4.共涉及8个学科领域，具体是：理论经济（4项），应用经济（6项），统计学（1项），政治学（2项），法学（4项），人口学（2项），语言学（1项），管理学（3项）。 
2020年国家社科基金立项一览表
序号 姓名 所在学院 项目名称 项目类别 所在学科 批准号 批准经费（万元）
1 周冬霞 哲学院 普惠性托育机构试点效果跟踪评估与长效机制构建研究 一般项目 人口学 20BRK046 20
2 杨祖义 经济学院 20世纪中国经济史学编年 一般项目 理论经济 20BJL005 20
3 余娟娟 经济学院 贸易摩擦对我国出口企业技术创新的影响及突围路径研究 一般项目 理论经济 20BJL053 20
4 陈浩 经济学院 城市群战略下中心城市人口集聚的时空演变与空间效应研究 一般项目 人口学 20BRK019 20
5 袁凯华 经济学院 贸易成本扭曲视角下中国先进制造业的服务化转型困境与对策研究 青年项目 理论经济 20CJL026 20
6 张克中 财政税务学院 社会保险制度改革的劳动力市场再分配效应研究 一般项目 应用经济 20BJY058 20
7 郭月梅 财政税务学院 抗疫背景下减税降费与地方财政压力的理论、测度及对策研究 一般项目 应用经济 20BJY217 20
8 周先平 金融学院 全球价值链动态优化与金融稳定研究 重点项目 应用经济 20AJY025 35
9 胡弘弘 法学院 人大代表履职的实效分析与制度创新研究 一般项目 政治学 20BZZ018 20
10 温世扬 法学院 人格标识的利用与保护研究 一般项目 法学 20BFX105 20
11 陆剑 法学院 “三轮”延包中特殊主体土地权益保护问题研究 一般项目 法学 20BFX110 20
12 徐小奔 法学院 新时代知识产权损害赔偿制度功能的拓展与规范研究 一般项目 法学 20BFX134 20
13 李雷 法学院 全覆盖背景下监察法规和监察规范性文件备案审查制度研究 青年项目 法学 20CFX010 20
14 马书东 外国语学院 动态语窗视域下英汉力图式规约模式对比研究 一般项目 语言学 20BYY006 20
15 吴振球 工商管理学院 适宜性创新模式选择与区域全要素生产率提升的理论模型与实证研究 一般项目 理论经济 20BJL095 20
16 刘仁军 工商管理学院 中国物流产业智慧化的高质量发展效应与政策支持研究 一般项目 应用经济 20BJY188 20
17 张大鹏 工商管理学院 包容性视角下乡村旅游产业对农民收入影响研究 一般项目 应用经济 20BJY207 20
18 陈玉萍 工商管理学院 相对贫困多维识别和协同治理长效机制研究 一般项目 管理学 20BGL249 20
19 郭飞 会计学院 银行监管和会计监管协调下商业银行风险管理决策与信贷资源配置研究 一般项目 应用经济 20BJY029 20
20 吴德军 会计学院 绿色创新与信息披露路径的经济后果研究 一般项目 管理学 20BGL075 20
21 史永 会计学院 审计报告改革与公司股价崩盘风险的影响及效果提升研究 一般项目 管理学 20BGL084 20
22 张广科 公共管理学院 后小康时代农户相对健康贫困的演变逻辑及其长效治理机制研究 一般项目 政治学 20BZZ044 20
23 杨青龙 统计与数学学院 中国民营经济营商环境评价方法与应用研究 一般项目 统计学 20BTJ039 20
