2021年国家社科基金立项名单公示结果出炉 我校跻身全国第十
新闻网讯 9月3日，全国哲学社会科学办公室公示了2021年国家社科基金年度项目和青年项目立项名单及2021年国家社会科学基金西部项目立项名单，共计5150个项目拟获立项。
据全国哲学社会科学工作办公室公示，我校拟立项总数为42项，居全国第十位。其中包括5个重点项目，26个一般项目，11个青年项目。
据悉，国家社科基金重点项目主要资助学术分量厚重、创新性强、对学科发展具有重要推动作用的研究成果，每项资助金额为30-35万元。一般项目主要资助学术价值较高、具有一定创新性的研究成果，每项资助金额为20-25万元。申请重点项目未达到立项要求、但达到一般项目标准的可立为一般项目。
我校2021年度国家社科基金项目拟立项公示清单如下：
2021年度国家社科基金项目立项公示清单
序号 项目名称 负责人 项目类别 学科 所属学院
1 艾思奇推进马克思主义哲学中国化的路径探索与现实启示研究 王梅清 一般项目 马列·科社 马克思主义学院
2 国外“政治马克思主义”研究 冯旺舟 一般项目 马列·科社 马克思主义学院
3 流失台湾的大革命时期毛泽东珍贵史料收集、整理与研究 黄家猛 一般项目 党史·党建 马克思主义学院
4 阐释学视域下的陈寅恪史学研究 张少鹏 一般项目 中国历史 马克思主义学院
5 《资本论》及其手稿中的自由观研究 王益 青年项目 哲学 马克思主义学院
6 中国共产党人传统文化观的演进逻辑及当代启示研究 李白鹤 一般项目 马列·科社 哲学院
7 社会偏好理论与美好生活实现的伦理学研究 龚天平 一般项目 哲学 哲学院
8 现代新儒家知识论思想研究 黄敏 一般项目 哲学 哲学院
9 20世纪中国戏曲“戏场性”意识演进研究 库慧君 一般项目 哲学 哲学院
10 现代政治代表结构的基础理论研究 张旭斌 青年项目 政治学 哲学院
11 印太视域下美国南海竞争战略的目标取向与措施匹配及中国应对研究 陈慈航 青年项目 国际问题研究 哲学院
12 民国时期太平洋国际学会有关中国经济问题探索的文献整理与研究 邹进文 重点项目 理论经济 经济学院
13 数字经济驱动中国制造业出口竞争力重塑的机理与路径研究 谢靖 一般项目 理论经济 经济学院
14 金融市场开放对跨境资本流动的冲击效应及可能风险研究 苏应蓉 一般项目 理论经济 经济学院
15 用能权交易制度驱动工业企业能源技术创新的机理、效应评价与政策优化研究 李珊珊 一般项目 应用经济 经济学院
16 近代中国保险思想史料的整理与研究（1840-1949） 朱华雄 一般项目 理论经济 经济学院
17 全球气候治理与贸易新形势下的我国碳市场国际化路径研究 曾盈盈 青年项目 国际问题研究 经济学院
18 次优税制视角下中国环境保护税的效应评估研究 薛钢 一般项目 应用经济 财政税务学院
19 中国对外援助风险的统计测度、监测预警及纾困路径研究 陈高 一般项目 统计学 财政税务学院
20 智慧司法背景下案件事实的分层论证 资琳 重点项目 法学 法学院
21 以核心范畴为逻辑起点的社会法学基础理论研究 钱叶芳 重点项目 法学 法学院
22 《民法典》时代我国国际私法典编纂中管辖权问题研究 刘仁山 重点项目 法学 法学院
23 金钱类环境责任的序位与衔接研究 余耀军 一般项目 法学 法学院
24 习近平法治思想中的程序法治要义研究 陈爱飞 青年项目 法学 法学院
25 利益平衡视角下的阻断法实施问题研究 丁汉韬 青年项目 法学 法学院
26 全球治理中我国承认与执行外国民事判决制度构建研究 黄志慧 青年项目 法学 法学院
27 文本和数据挖掘的著作权合理使用制度研究 何蓉 青年项目 法学 法学院
28 南北朝经学与中国文论 张金梅 一般项目 中国文学 新闻与文化传播学院
29 新世纪乡村小说地方志书写研究 陈国和 一般项目 中国文学 新闻与文化传播学院
30 汉赋文本的“知识考古”及赋学理论问题研究 刘成敏 青年项目 中国文学 新闻与文化传播学院
31 美好生活需要视角下农民工多维相对贫困识别与治理研究 刘雪梅 一般项目 应用经济 工商管理学院
32 农产品电商平台供应链全流程价值共创生态演化与协同治理研究 熊峰 一般项目 管理学 工商管理学院
33 社会化媒体背景下品牌对抗忠诚行为的影响机制与治理研究 杜鹏 一般项目 管理学 工商管理学院
34 平台企业并购垄断效应与反垄断规制研究 袁天荣 一般项目 管理学 会计学院
35 社会网络视角下老年慢性病健康管理模式研究 薛新东 一般项目 社会学 公共管理学院
36 基本医疗保险对老年人临终医疗费用的影响效应与机制研究 吕国营 一般项目 管理学 公共管理学院
37 数字经济背景下农民工数字素养与社会融合研究 朱明宝 青年项目 人口学 公共管理学院
38 我国产业链现代化测度及优化升级研究 张虎 重点项目 统计学 统计与数学学院
39 复杂网络视域下数字经济推动产业转型升级的统计研究 徐映梅 一般项目 统计学 统计与数学学院
40 中国数字经济发展测度及其对经济高质量发展的效应研究 李占风 一般项目 统计学 统计与数学学院
41 人工智能时代新闻推荐系统中的“信息茧房”问题形成机理及应对策略研究 刘树栋 一般项目 新闻学与传播学 信息与安全工程学院
42 环境规制影响企业高质量发展的机制及路径研究 雷鹏飞 青年项目 应用经济 校直机关（发展规划部）
