link,title,site_name,pagenum
http://wellan.zuel.edu.cn/2022/1006/c1669a308349/page.htm,省民宗委程家忠处长一行调研学校民族团结教育工作,财大综合新闻,1
http://wellan.zuel.edu.cn/2022/1005/c1669a308194/page.htm,校党委常委、副校长刘仁山带队开展实验室安全检查,财大综合新闻,1
http://wellan.zuel.edu.cn/2022/1005/c1669a308195/page.htm,齐“新”协力  医院召开新进职工座谈会,财大综合新闻,1
http://wellan.zuel.edu.cn/2022/1004/c1669a307930/page.htm,“研”途有你 一“研”为定——学习发展中心举办考研报名指导讲座,财大综合新闻,1
http://wellan.zuel.edu.cn/2022/1004/c1669a307924/page.htm,党委学生工作部召开院级学习发展中心联络人座谈会,财大综合新闻,1
http://wellan.zuel.edu.cn/2022/1004/c1669a307915/page.htm,学校举办国庆期间观影活动,财大综合新闻,1
http://wellan.zuel.edu.cn/2022/1004/c1669a307847/page.htm,学校召开2022年体育运动委员会第二次工作会议  ​,财大综合新闻,1
http://wellan.zuel.edu.cn/2022/1005/c1669a308042/page.htm,我校财政系党支部入选全省高校首批党建工作样板支部创建单位名单,财大综合新闻,1
http://wellan.zuel.edu.cn/2022/1004/c1669a307903/page.htm,喜讯！法学院党委入选全省高校党建工作标杆院系创建单位名单,财大综合新闻,1
http://wellan.zuel.edu.cn/2022/1003/c1669a307807/page.htm,学校举办铸牢中华民族共同体意识教育专题讲座,财大综合新闻,1
http://wellan.zuel.edu.cn/2022/1003/c1669a307729/page.htm,校党委常委、副校长姚莉教授应邀参加湖北省检察院 “充分发挥检察职能助力湖北加快建设全国构建新发展格局先行区研讨会”并作专家发言,财大综合新闻,1
http://wellan.zuel.edu.cn/2022/1003/c1669a307723/page.htm,民革中南财经政法大学支部召开工作例会,财大综合新闻,1
http://wellan.zuel.edu.cn/2022/1003/c1669a307704/page.htm,“访企拓岗促就业”新闻与文化传播学院与湖北今古传奇传媒集团开展深度合作 ,财大综合新闻,1
http://wellan.zuel.edu.cn/2022/1003/c1669a307697/page.htm,校党委常委、副校长申祖武带队开展校园安全检查,财大综合新闻,1
